Title,Pub_name,DOI,Year,Link
A porous metal-organic framework (Ni-MOF): An efficient and recyclable catalyst for cascade oxidative amidation of alcohols by amines under ultrasound-irradiations,Molecular Catalysis,10.1016/j.mcat.2022.112372,2022-06-30,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2022.112372?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Dynorphin/Kappa Opioid Receptor Activity Within the Extended Amygdala Contributes to Stress-Enhanced Alcohol Drinking in Mice,Biological Psychiatry,10.1016/j.biopsych.2022.01.002,2022-06-15,https://api.elsevier.com/content/article/doi/10.1016/j.biopsych.2022.01.002?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Facile one-pot preparation of allylic alcohols with a fluorine-containing alkyl group at the γ-position,Journal of Fluorine Chemistry,10.1016/j.jfluchem.2013.07.016,2013-11-30,https://api.elsevier.com/content/article/doi/10.1016/j.jfluchem.2013.07.016?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Ionic liquid/Mn complex immobilized on phenylene based periodic mesoporous organosilica: An efficient and reusable nanocatalyst for green oxidation of alcohols,Applied Surface Science Advances,10.1016/j.apsadv.2021.100099,2021-09-01,https://api.elsevier.com/content/article/doi/10.1016/j.apsadv.2021.100099?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Synthesis of energy rich fuel additive from biomass derived levulinic acid and furfuryl alcohol using novel tin-exchanged heteropoly acid supported on titania nanotubes as catalyst,Fuel,10.1016/j.fuel.2022.125700,2023-01-01,https://api.elsevier.com/content/article/doi/10.1016/j.fuel.2022.125700?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Supercooled sugar alcohols stabilized by alkali hydroxides for long-term room-temperature phase change solar-thermal energy storage,Chemical Engineering Journal,10.1016/j.cej.2022.139328,2023-01-15,https://api.elsevier.com/content/article/doi/10.1016/j.cej.2022.139328?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
CaF<ce:inf loc=post>2</ce:inf> catalyzed S<ce:inf loc=post>N</ce:inf>2 type chlorodehydroxylation of chiral secondary alcohols with thionyl chloride: a practical and convenient approach for the preparation of optically active chloroalkanes,Tetrahedron Letters,10.1016/j.tetlet.2013.02.079,2013-05-01,https://api.elsevier.com/content/article/doi/10.1016/j.tetlet.2013.02.079?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Exploring the links between gut microbiota and excitatory and inhibitory brain processes in alcohol use disorder: A TMS study.,Neuropharmacology,10.1016/j.neuropharm.2022.109384,2023-03-01,https://api.elsevier.com/content/article/doi/10.1016/j.neuropharm.2022.109384?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Tailored production of lignin-containing cellulose nanofibrils from sugarcane bagasse pretreated by acid-catalyzed alcohol solutions,Carbohydrate Polymers,10.1016/j.carbpol.2022.119602,2022-09-01,https://api.elsevier.com/content/article/doi/10.1016/j.carbpol.2022.119602?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Enantioselective acetylation of racemic alcohols by <ce:italic>Manihot esculenta</ce:italic> and <ce:italic>Passiflora edulis</ce:italic> preparations,Journal of Molecular Catalysis B: Enzymatic,10.1016/j.molcatb.2009.04.017,2009-10-31,https://api.elsevier.com/content/article/doi/10.1016/j.molcatb.2009.04.017?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Association between alcohol consumption and the risk of stroke in middle-aged and older adults in China,Drug and Alcohol Dependence,10.1016/j.drugalcdep.2021.109134,2021-12-01,https://api.elsevier.com/content/article/doi/10.1016/j.drugalcdep.2021.109134?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Photothermal synergy of 1D Cd<ce:inf loc=post>0.9</ce:inf>Zn<ce:inf loc=post>0.1</ce:inf>S and 3D Mn<ce:inf loc=post>3</ce:inf>O<ce:inf loc=post>4</ce:inf> for achieving forcefully active and highly selective aromatic alcohol oxidation,Applied Surface Science,10.1016/j.apsusc.2021.151978,2022-03-30,https://api.elsevier.com/content/article/doi/10.1016/j.apsusc.2021.151978?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Breath alcohol sensor based on hydrogel-gated graphene field-effect transistor,Biosensors and Bioelectronics,10.1016/j.bios.2022.114319,2022-08-15,https://api.elsevier.com/content/article/doi/10.1016/j.bios.2022.114319?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Efficient catalytic oxidation of benzyl alcohol by tetrasubstituted cobalt phthalocyanine-MWCNTs composites,Solid State Sciences,10.1016/j.solidstatesciences.2022.106905,2022-07-31,https://api.elsevier.com/content/article/doi/10.1016/j.solidstatesciences.2022.106905?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Facile fabrication of portable electrospun poly(vinyl alcohol)/sulfur quantum dots film sensor for sensitive and selective detection of Fe<ce:sup loc=post>3+</ce:sup>,Optical Materials,10.1016/j.optmat.2022.113227,2023-01-31,https://api.elsevier.com/content/article/doi/10.1016/j.optmat.2022.113227?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Highly uniform Fe-based MOFs fabricated by mixed-linker strategy for ring-opening of epoxides with alcohols,Materials Letters,10.1016/j.matlet.2022.133506,2023-01-15,https://api.elsevier.com/content/article/doi/10.1016/j.matlet.2022.133506?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Efficient and mild method for preparation of allylic amines from aziridine-2-alcohols using PPh<ce:inf loc=post>3</ce:inf>/I<ce:inf loc=post>2</ce:inf>/imidazole,Tetrahedron Letters,10.1016/j.tetlet.2014.08.078,2014-10-22,https://api.elsevier.com/content/article/doi/10.1016/j.tetlet.2014.08.078?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Active sites behavior on Ru@MIL-101(Cr) catalysts to direct alcohol to acetals conversion, an <ce:italic>in situ</ce:italic> FT-IR study of n-butanol and butanal",Journal of Catalysis,10.1016/j.jcat.2022.11.014,2022-12-31,https://api.elsevier.com/content/article/doi/10.1016/j.jcat.2022.11.014?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Alcohol consumption, polygenic risk score, and early- and late-onset colorectal cancer risk",eClinicalMedicine,10.1016/j.eclinm.2022.101460,2022-07-31,https://api.elsevier.com/content/article/doi/10.1016/j.eclinm.2022.101460?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Regio- and stereoselective preparation of highly substituted tertiary homoallylic alcohols,Tetrahedron Letters,10.1016/j.tetlet.2011.06.111,2011-08-31,https://api.elsevier.com/content/article/doi/10.1016/j.tetlet.2011.06.111?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Investigating the nature of depressive experiences in adults who self-medicate low mood with alcohol,Alcohol,10.1016/j.alcohol.2022.07.003,2022-09-30,https://api.elsevier.com/content/article/doi/10.1016/j.alcohol.2022.07.003?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and properties of High sheared Poly(Vinyl Alcohol)/Chitosan blended Hydrogels films with <ce:italic>Lawsonia inermis</ce:italic> extract as wound dressing,Journal of Drug Delivery Science and Technology,10.1016/j.jddst.2020.102227,2021-02-28,https://api.elsevier.com/content/article/doi/10.1016/j.jddst.2020.102227?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Rational design of cobalt catalysts embedded in N-Doped carbon for the alcohol dehydrogenation to carboxylic acids,Molecular Catalysis,10.1016/j.mcat.2022.112891,2023-01-15,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2022.112891?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Speeding up heterogeneous catalysis with an improved highly reusable catalyst for the preparation of enantioenriched secondary alcohols,Reactive and Functional Polymers,10.1016/j.reactfunctpolym.2017.02.008,2017-04-30,https://api.elsevier.com/content/article/doi/10.1016/j.reactfunctpolym.2017.02.008?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Alcohol craving and withdrawal at treatment entry prospectively predict alcohol use outcomes during outpatient treatment,Drug and Alcohol Dependence,10.1016/j.drugalcdep.2021.109253,2022-02-01,https://api.elsevier.com/content/article/doi/10.1016/j.drugalcdep.2021.109253?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Band bending caused by forming heterojunctions in Cu-Cu<ce:inf loc=post>2</ce:inf>O/rGO-NH<ce:inf loc=post>2</ce:inf> semiconductor materials and surface coordination of N-methylimidazole, and the intrinsic nature of synergistic effect on the catalysis of selective aerobic oxidation of alcohols",Applied Surface Science,10.1016/j.apsusc.2022.154563,2022-12-15,https://api.elsevier.com/content/article/doi/10.1016/j.apsusc.2022.154563?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Chapter 14: Future innovations in alcohol-based beverage industry,Future Foods,10.1016/B978-0-323-91001-9.00021-9,2022-12-31,https://api.elsevier.com/content/article/doi/10.1016/B978-0-323-91001-9.00021-9?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and characterization novel dioctyl terephthalate blended polyvinyl alcohol-composite films incorporated with the graphene oxide and silver nanoparticles,Polymer Testing,10.1016/j.polymertesting.2019.106315,2020-02-29,https://api.elsevier.com/content/article/doi/10.1016/j.polymertesting.2019.106315?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Water promoted photocatalytic transfer hydrogenation of furfural to furfural alcohol over ultralow loading metal supported on TiO<ce:inf loc=post>2</ce:inf>,Journal of Energy Chemistry,10.1016/j.jechem.2022.06.012,2022-10-31,https://api.elsevier.com/content/article/doi/10.1016/j.jechem.2022.06.012?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
A systematic review and behaviour change technique analysis of remotely delivered alcohol and/or substance misuse interventions for adults,Drug and Alcohol Dependence,10.1016/j.drugalcdep.2022.109597,2022-10-01,https://api.elsevier.com/content/article/doi/10.1016/j.drugalcdep.2022.109597?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Innate immune tolerance against adolescent intermittent alcohol exposure-induced behavioral abnormalities in adult mice,International Immunopharmacology,10.1016/j.intimp.2022.109250,2022-12-31,https://api.elsevier.com/content/article/doi/10.1016/j.intimp.2022.109250?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
<ce:italic>Radix Puerariae thomsonii</ce:italic> polysaccharide (RPP) improves inflammation and lipid peroxidation in alcohol and high-fat diet mice by regulating gut microbiota,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2022.04.067,2022-06-01,https://api.elsevier.com/content/article/doi/10.1016/j.ijbiomac.2022.04.067?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
The effect of CuO crystallite size on the structure and performance of CuZnAl catalyst for mixed alcohols synthesis from syngas,Journal of Physics and Chemistry of Solids,10.1016/j.jpcs.2022.110883,2022-11-30,https://api.elsevier.com/content/article/doi/10.1016/j.jpcs.2022.110883?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of photosensitive diazotized poly (vinyl alcohol-<ce:italic>b</ce:italic>-styrene) covalent capillary coatings for capillary electrophoresis separation of proteins,Journal of Chromatography A,10.1016/j.chroma.2019.02.004,2019-05-24,https://api.elsevier.com/content/article/doi/10.1016/j.chroma.2019.02.004?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Gender- and subgroup-specific sensitivity analysis of alcohol consumption and mortality in the Ludwigshafen Risk and Cardiovascular Health (LURIC) study,Data in Brief,10.1016/j.dib.2022.107873,2022-04-30,https://api.elsevier.com/content/article/doi/10.1016/j.dib.2022.107873?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Genome hunting of carbonyl reductases from <ce:italic>Candida glabrata</ce:italic> for efficient preparation of chiral secondary alcohols,Bioresource Technology,10.1016/j.biortech.2017.09.111,2018-01-31,https://api.elsevier.com/content/article/doi/10.1016/j.biortech.2017.09.111?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Antagonistic effect of the glycopeptide from zein on acute alcohol-induced liver injury in mice,Journal of Functional Foods,10.1016/j.jff.2022.105062,2022-05-31,https://api.elsevier.com/content/article/doi/10.1016/j.jff.2022.105062?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hexafluoroisopropyl alcohol as a new solvent for aerogels preparation,The Journal of Supercritical Fluids,10.1016/j.supflu.2014.02.011,2014-05-31,https://api.elsevier.com/content/article/doi/10.1016/j.supflu.2014.02.011?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Effects of alcohol-induced increase in CYP2E1 content in human liver microsomes on the activity and cooperativity of CYP3A4,Archives of Biochemistry and Biophysics,10.1016/j.abb.2020.108677,2021-02-15,https://api.elsevier.com/content/article/doi/10.1016/j.abb.2020.108677?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Enzymatic preparation of optically pure <ce:italic>t</ce:italic>-butyl 6-chloro-(3<ce:italic>R</ce:italic>,5<ce:italic>S</ce:italic>)-dihydroxyhexanoate by a novel alcohol dehydrogenase discovered from <ce:italic>Klebsiella oxytoca</ce:italic>",Process Biochemistry,10.1016/j.procbio.2017.03.019,2017-06-30,https://api.elsevier.com/content/article/doi/10.1016/j.procbio.2017.03.019?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Icariin attenuates excessive alcohol consumption-induced susceptibility to atrial fibrillation through SIRT3 signaling,Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease,10.1016/j.bbadis.2022.166483,2022-10-01,https://api.elsevier.com/content/article/doi/10.1016/j.bbadis.2022.166483?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
<ce:italic>Centranthera grandiflore</ce:italic> alleviates alcohol-induced oxidative stress and cell apoptosis,Chinese Journal of Natural Medicines,10.1016/S1875-5364(22)60181-X,2022-08-31,https://api.elsevier.com/content/article/doi/10.1016/S1875-5364(22)60181-X?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Particle morphology dependent dielectric properties of CaCu<ce:inf loc=post>3</ce:inf>Ti<ce:inf loc=post>4</ce:inf>O<ce:inf loc=post>12</ce:inf>/polyvinyl alcohol composite films,Materials Research Bulletin,10.1016/j.materresbull.2021.111632,2022-03-31,https://api.elsevier.com/content/article/doi/10.1016/j.materresbull.2021.111632?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of novel biodegradable starch/poly(vinyl alcohol)/bentonite grafted polymeric films for fertilizer encapsulation,Carbohydrate Polymers,10.1016/j.carbpol.2021.117679,2021-05-01,https://api.elsevier.com/content/article/doi/10.1016/j.carbpol.2021.117679?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Preparation of aromatic nitriles <ce:italic>via</ce:italic> direct oxidative conversion of benzyl alcohols, aldehydes and amines with pentylpyridinium tribromide in aqueous NH<ce:inf loc=post>4</ce:inf>OAc",Chinese Chemical Letters,10.1016/j.cclet.2015.01.009,2015-05-31,https://api.elsevier.com/content/article/doi/10.1016/j.cclet.2015.01.009?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Facile selective hydrogenation of bio-based furfural to furfuryl alcohol <ce:italic>via</ce:italic> a ZIF-67-derived Co-based catalyst,Fuel Processing Technology,10.1016/j.fuproc.2022.107507,2023-01-31,https://api.elsevier.com/content/article/doi/10.1016/j.fuproc.2022.107507?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Ni-nanoparticles decorated CePO<ce:inf loc=post>4</ce:inf> for the selective hydrogenation of furfural to tetrahydrofurfuryl alcohol,Molecular Catalysis,10.1016/j.mcat.2022.112712,2022-10-31,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2022.112712?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Photocatalytic selective oxidation of aromatic alcohols coupled with hydrogen evolution over CdS/WO<ce:inf loc=post>3</ce:inf> composites,Chinese Journal of Catalysis,10.1016/S1872-2067(21)63989-X,2022-07-31,https://api.elsevier.com/content/article/doi/10.1016/S1872-2067(21)63989-X?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Carbon-supported Fe catalysts with well-defined active sites for highly selective alcohol production from Fischer-Tropsch synthesis,Applied Catalysis B: Environmental,10.1016/j.apcatb.2022.121393,2022-09-05,https://api.elsevier.com/content/article/doi/10.1016/j.apcatb.2022.121393?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Electrospinning preparation and spectral characterizations of the inclusion complex of ferulic acid and γ-cyclodextrin with encapsulation into polyvinyl alcohol electrospun nanofibers,Journal of Molecular Structure,10.1016/j.molstruc.2020.128767,2020-12-05,https://api.elsevier.com/content/article/doi/10.1016/j.molstruc.2020.128767?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Associations between heavy drinker’s alcohol-related social media exposures and personal beliefs and attitudes regarding alcohol treatment,Addictive Behaviors Reports,10.1016/j.abrep.2022.100434,2022-06-30,https://api.elsevier.com/content/article/doi/10.1016/j.abrep.2022.100434?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Ultra-low content of Pt modified CdS nanorods: Preparation, characterization, and application for photocatalytic selective oxidation of aromatic alcohols and reduction of nitroarenes in one reaction system",Journal of Hazardous Materials,10.1016/j.jhazmat.2018.07.108,2018-10-15,https://api.elsevier.com/content/article/doi/10.1016/j.jhazmat.2018.07.108?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Purkinje cell-specific deletion of CREB worsens alcohol-induced cerebellar neuronal losses and motor deficits,Alcohol,10.1016/j.alcohol.2022.02.005,2022-06-30,https://api.elsevier.com/content/article/doi/10.1016/j.alcohol.2022.02.005?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Concept for the valorization of cereal processing waste: Recovery of phenolic acids by using waste-derived tetrahydrofurfuryl alcohol and biochar,Chemosphere,10.1016/j.chemosphere.2022.137457,2023-02-28,https://api.elsevier.com/content/article/doi/10.1016/j.chemosphere.2022.137457?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Relationship between alcohol craving dimensions and features of comorbid mental health in an alcohol dependent sample,Addictive Behaviors,10.1016/j.addbeh.2021.107106,2022-01-31,https://api.elsevier.com/content/article/doi/10.1016/j.addbeh.2021.107106?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Heterogeneously catalyzed direct cross-coupling of secondary alcohols to β-disubstituted ketones by Cu/γ-Al<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>3</ce:inf>,Inorganica Chimica Acta,10.1016/j.ica.2022.120830,2022-05-01,https://api.elsevier.com/content/article/doi/10.1016/j.ica.2022.120830?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Preparation of alcohol free propolis-alginate microcapsules, characterization and release property",LWT,10.1016/j.lwt.2019.03.036,2019-07-31,https://api.elsevier.com/content/article/doi/10.1016/j.lwt.2019.03.036?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Selective aerobic oxidation of benzyl alcohol on inexpensive and reusable ZnO/MnCO<ce:inf loc=post>3</ce:inf> catalyst,Catalysis Today,10.1016/j.cattod.2021.10.013,2022-07-01,https://api.elsevier.com/content/article/doi/10.1016/j.cattod.2021.10.013?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Selective aerobic oxidation of benzyl alcohol on inexpensive and reusable ZnO/MnCO<ce:inf loc=post>3</ce:inf> catalyst,Catalysis Today,10.1016/j.cattod.2021.10.013,2022-07-01,https://api.elsevier.com/content/article/doi/10.1016/j.cattod.2021.10.013?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Catalytic transfer hydrogenation of furfural to furfuryl alcohol over Al-containing ferrihydrite,Journal of Industrial and Engineering Chemistry,10.1016/j.jiec.2022.12.002,2022-12-07,https://api.elsevier.com/content/article/doi/10.1016/j.jiec.2022.12.002?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
The alcohol-modified CuZnAl hydroxycarbonate synthesis as a convenient preparation route of high activity Cu/ZnO/Al<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>3</ce:inf> catalysts for WGS,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2018.11.051,2019-01-08,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2018.11.051?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Synthesis and properties of different alkyl alcohol polyethers as the defoamers for concrete,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2022.128998,2022-08-05,https://api.elsevier.com/content/article/doi/10.1016/j.colsurfa.2022.128998?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Separate and combined effects of alcohol and cannabis on mood, subjective experience, cognition and psychomotor performance: A randomized trial",Progress in Neuro-Psychopharmacology and Biological Psychiatry,10.1016/j.pnpbp.2022.110570,2022-08-30,https://api.elsevier.com/content/article/doi/10.1016/j.pnpbp.2022.110570?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Isoamyl acetate preparation from reaction of vinyl acetate and Isoamyl alcohol catalyzed by H-ZSM-5 zeolite: a kinetic study,Molecular Catalysis,10.1016/j.mcat.2018.06.009,2020-02-29,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2018.06.009?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Pd/Ni-Al hydrotalcite for base-free alcohol oxidation: Dependency of activity and selectivity on palladium precursors and reduction reagents,Molecular Catalysis,10.1016/j.mcat.2022.112403,2022-06-30,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2022.112403?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
The effect of acute alcohol consumption on meal memory and subsequent food intake: Two laboratory experiments,Appetite,10.1016/j.appet.2021.105225,2021-08-01,https://api.elsevier.com/content/article/doi/10.1016/j.appet.2021.105225?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrothermal reduction synthesis of K-Ni-Mo-based catalyst and its catalytic performance for higher alcohol synthesis from syngas,Journal of Fuel Chemistry and Technology,10.1016/S1872-5813(21)60015-X,2022-12-31,https://api.elsevier.com/content/article/doi/10.1016/S1872-5813(21)60015-X?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Synthesis of glutamic acid/polyvinyl alcohol based hydrogels for controlled drug release: In-vitro characterization and in-vivo evaluation,Journal of Drug Delivery Science and Technology,10.1016/j.jddst.2022.103715,2022-09-30,https://api.elsevier.com/content/article/doi/10.1016/j.jddst.2022.103715?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
A mild and efficient method for preparation of azides from alcohols using acidic ionic liquid [H-NMP]HSO<ce:inf loc=post>4</ce:inf>,Tetrahedron Letters,10.1016/j.tetlet.2008.11.111,2009-02-11,https://api.elsevier.com/content/article/doi/10.1016/j.tetlet.2008.11.111?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Induction of FGF23-related hypophosphatemic osteomalacia by alcohol consumption,Bone Reports,10.1016/j.bonr.2021.101144,2021-12-31,https://api.elsevier.com/content/article/doi/10.1016/j.bonr.2021.101144?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Insight into the role of [C<ce:inf loc=post>2</ce:inf>C<ce:inf loc=post>1</ce:inf>mim][OAc] and AgNO<ce:inf loc=post>3</ce:inf> in the reaction of propargylic alcohols, CO<ce:inf loc=post>2</ce:inf>, and 2-aminoethanols",Molecular Catalysis,10.1016/j.mcat.2022.112909,2023-02-15,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2022.112909?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
RuO<ce:inf loc=post>2</ce:inf> supported NaY zeolite catalysts: Effect of preparation methods on catalytic performance during aerobic oxidation of benzyl alcohol,Solid State Sciences,10.1016/j.solidstatesciences.2017.08.022,2017-10-31,https://api.elsevier.com/content/article/doi/10.1016/j.solidstatesciences.2017.08.022?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Cu-catalyzed coupling of unactivated tertiary alkyl alcohols with thiols via C–O bond cleavage,Tetrahedron Letters,10.1016/j.tetlet.2021.153604,2022-01-19,https://api.elsevier.com/content/article/doi/10.1016/j.tetlet.2021.153604?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
